== 수의 ==
장례식장,주소,품명,품종상세,기타정보,요금,요금_표시
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",고급면수의,면,국내,350000,"350,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",대마면수의(원사:중국),대마,대마50%+면50% 기계직,500000,"500,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",대마혼합수의(원사:중국),대마,대마+면+인견기계직,600000,"600,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",한복수의(원사:중국),인견,인견100% 기계직,800000,"800,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",한복수의(원사:중국),인견,인견/한국,800000,"800,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",대마비단수의(원사:중국),대마,명주100%+대마100%,1100000,"1,100,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",중급비단한복수의(원사:중국),명주,"명주/한국, 대마/중국",1300000,"1,300,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",고급한복수의(원사:한국),대마,대마+견 기계직,2000000,"2,000,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",고급안동포대용(원사:중국),대마,대마100% 수직,2800000,"2,800,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",명품비단한복(원사:중국),대마,대마+견 기계직,3200000,"3,200,000"
가톨릭대학교 은평성모장례식장,"서울특별시 은평구 통일로 1021,은평성모장례식장 (진관동)",명품안동포수의(원사:한국),대마,대마100% 수직,8000000,"8,000,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",아기 수의,기타,혼합사/중국/중국/기계직,100000,"100,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 9호 수의,면,면+폴리+레이온/중국/중국/기계직,250000,"250,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 8호 수의,저마,저마+면/중국/중국/기계직,450000,"450,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 7호 수의,저마,저마100%/중국/중국/기계직,600000,"600,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 6호 수의,저마,저마100%/중국/중국/기계직,750000,"750,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 5호 수의,대마,대마100%/중국/중국/기계직,900000,"900,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 3호 수의,대마,대마100%/중국/중국/기계직,1200000,"1,200,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 2호 수의,대마,대마+저마/중국/중국/수제직,1300000,"1,300,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 1호 수의,대마,대마100%/중국/중국/수제직,1800000,"1,800,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 특품 삼베 수의,대마,대마100%/중국/중국/수제직,2100000,"2,100,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",경희 명품 삼베 수의,대마,대마100%/중국/중국/수제직,2700000,"2,700,000"
강동경희대학교병원장례식장,"서울특별시 강동구 동남로 892 (상일동, 강동경희대학교병원)",안동포 수의,대마,대마100%/한국/안동/수제직,4300000,"4,300,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",강동성심2호,면,면+레이온/중국/한국(광주)/기계직,200000,"200,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",멧베,기타,상,200000,"200,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",강동성심3호,대마,대마100%/중국/중국/기계직,360000,"360,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",강동성심4호,대마,대마+저마/중국/중국/반수공,660000,"660,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",강동성심5호,대마,대마100%/중국/중국/수직,920000,"920,000"
강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",강동성심6호,대마,대마100%/중국/중국/수직,1600000,"1,600,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 1호,육수(염포),"면60%, 폴리40% 혼방 / 기계직 / 중국",300000,"300,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 2호,면,면 100% / 기계직 / 중국,600000,"600,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 3호,저마,저마 100% / 기계직 / 중국,800000,"800,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 4호,인견,대마 인견 100% / 기계직 / 중국,1000000,"1,000,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 5호,대마,대마 100% / 기계직 / 중국,1200000,"1,200,000"
강서개화장례식장,서울특별시 강서구 양천로 35 (방화동),개화 6호,대마,대마 100% / 수제직(남해) / 중국,1500000,"1,500,000"
강서장례식장,서울특별시 강서구 화곡로 163 (화곡동),화장용수의(하),기타,마사혼합 100% 중국 기계직,390000,"390,000"
강서장례식장,서울특별시 강서구 화곡로 163 (화곡동),매장용 또는 화장용 수의(중),면,저마100% 중국 기계직,550000,"550,000"
강서장례식장,서울특별시 강서구 화곡로 163 (화곡동),매장용 또는 화장용 수의(상),저마,고급대마100% 중국 기계직,1100000,"1,100,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),1호 수의,저마,저마100%/중국/중국/기계직,490000,"490,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),2-1호 수의,저마,저마100%/중국/중국/기계직,690000,"690,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),3호 수의,대마,대마100%/중국/중국/기계직,780000,"780,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),5호 수의,대마,대마100%/중국/중국/기계직,1300000,"1,300,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),7호 수의,대마,대마100%/중국/중국/수직,1850000,"1,850,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),10호 수의,대마,대마100%/남해/한국/수직,3850000,"3,850,000"
건국대학교병원장례식장,서울특별시 광진구 능동로 120-1 (화양동),11호 수의,대마,대마100%/안동/한국/수직,4750000,"4,750,000"
경찰병원장례식장,"서울특별시 송파구 송이로 123 (가락동, 국립경찰병원)",4품수의,면,면+폴리/중국/중국/기계직,200000,"200,000"
