facility_cd,company_name,full_address,품종,품종상세,품명,임대내용,요금,요금_표시,판매여부
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,205호,1일당,264000,"264,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,205호,시간당,11000,"11,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,"202.203,204,206,207호",1일당,344000,"344,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,"202.203,204,206,207호",시간당,14340,"14,340",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,201호,1일당,500000,"500,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,201호,시간당,21000,"21,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,102호,1일당,700000,"700,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,102호,시간당,29200,"29,200",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,101호,1일당,900000,"900,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,빈소+접객실,101호,시간당,37500,"37,500",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,염습실/입관실,염습실료,1인(16세미만),150000,"150,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,염습실/입관실,염습실료,1인(16세이상),250000,"250,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,염습실/입관실,발인실료,1회,50000,"50,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",시설임대료,기타,부검실료,1인,200000,"200,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",안치실이용료,일반,안치료,1일당,80000,"80,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",안치실이용료,일반,안치료,시간당,7000,"7,000",Y
1000000053,경상국립대학교병원장례식장,"경상남도 진주시 강남로 79 (칠암동, 경상대학교병원)",기타,-,-,-,0,,N
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,"1,2호실 사용료","시간 사용료52,000",1250000,"1,250,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,"3,5호실 사용료","시간 사용료43,000",1050000,"1,050,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,6호실 사용료,"시간 사용료64,000",1550000,"1,550,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,원내사망20%감면,빈소사용료 및 안치료,20,20,Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,30%감면 (직원직계),빈소사용료 및 안치료,30,30,Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소+접객실,50%감면(본인사망),빈소사용료 및 안치료,50,50,Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,빈소/분향실,-,-,0,,Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,접객실,쓰레기수거료,빈소 분리 수거료 1일,30000,"30,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,염습실/입관실,염습실사용료,1회,400000,"400,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,염습실/입관실,수시비용,수시비용,100000,"100,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,염습실/입관실,야간엽습실 사용료,야간 10만원 추가,500000,"500,000",Y
1000000366,샘안양병원장례식장,"경기도 안양시 만안구 삼덕로 9,613-8 (안양동, 안양샘병원)",시설임대료,기타,-,-,0,,Y
